Index,Timestamp,Symbol,Action,LotID,Amount,Quantity,LimitPrice,TakeProfit,StopLoss,Ready
117,2023-04-05 09:22,KO,TRADE,,"$100,000",,62.0,62.3,61.8,YES
118,2023-04-05 09:22,OXY,TRADE,,"$100,000",,63.6,64.9,63.0,YES
119,2023-04-06 09:23,QQQ,TRADE,,"$100,000",,313.0,314.9,311.7,YES
120,2023-04-06 09:23,TQQQ,TRADE,,"$100,000",,26.2,27.0,26.0,YES
121,2023-04-06 09:23,SPY,TRADE,,"$100,000",,405.7,408.1,404.8,YES
122,2023-04-06 09:23,LABU,TRADE,,"$100,000",,4.6,4.8,4.4,YES
123,2023-04-10 09:14,TQQQ,TRADE,,"$100,000",,26.4,27.0,26.0,YES
124,2023-04-10 09:14,SPY,TRADE,,"$100,000",,406.2,407.7,405.5,YES
125,2023-04-10 09:14,LABU,TRADE,,"$100,000",,4.7,5.0,4.5,YES
126,2023-04-10 09:14,SOXL,TRADE,,"$100,000",,15.0,15.5,14.8,YES
127,2023-04-10 09:14,QQQ,TRADE,,"$100,000",,315.2,316.3,314.0,YES
128,2023-04-11 09:22,QQQ,TRADE,,"$100,000",,314.4,318.1,313.0,YES
129,2023-04-11 09:22,TQQQ,TRADE,,"$100,000",,26.7,27.4,26.0,YES
130,2023-04-11 09:22,SPY,TRADE,,"$100,000",,407.3,410.7,406.7,YES
131,2023-04-11 09:22,SOXL,TRADE,,"$100,000",,16.0,16.8,15.8,YES
132,2023-04-11 09:22,LABU,TRADE,,"$100,000",,4.76,5.0,4.5,YES
133,2023-04-12 09:19,LABU,TRADE,,"$100,000",,4.9,5.1,4.7,YES
134,2023-04-13 09:19,TQQQ,TRADE,,"$100,000",,26.3,26.9,26.0,YES
135,2023-04-13 09:19,SPY,TRADE,,"$100,000",,408.1,409.0,407.5,YES
136,2023-04-13 09:19,SOXL,TRADE,,"$100,000",,15.3,15.8,15.0,YES
137,2023-04-14 09:20,QQQ,TRADE,,"$100,000",,316.0,320.0,315.4,YES
138,2023-04-14 09:20,TQQQ,TRADE,,"$100,000",,27.0,27.7,26.6,YES
139,2023-04-14 09:20,SPY,TRADE,,"$100,000",,411.5,413.6,410.0,YES
140,2023-04-14 09:20,SOXL,TRADE,,"$100,000",,15.4,16.0,15.0,YES
141,2023-04-14 09:20,LABU,TRADE,,"$100,000",,5.1,5.6,5.0,YES
142,2023-04-17 09:13,SPY,TRADE,,"$100,000",,411.3,413.2,410.0,YES
143,2023-04-17 09:13,LABU,TRADE,,"$100,000",,5.2,5.5,5.0,YES
144,2023-04-18 09:12,TQQQ,TRADE,,"$100,000",,26.9,28.1,26.5,YES
145,2023-04-18 09:12,SPY,TRADE,,"$100,000",,412.4,416.4,411.0,YES
146,2023-04-18 09:12,LABU,TRADE,,"$100,000",,5.6,6.08,5.4,YES
147,2023-04-18 09:12,SOXL,TRADE,,"$100,000",,15.2,16.0,14.8,YES
148,2023-04-18 09:12,QQQ,TRADE,,"$100,000",,317.1,321.2,315.0,YES
149,2023-04-19 09:19,QQQ,TRADE,,"$100,000",,315.8,317.2,313.2,YES
150,2023-04-19 09:19,TQQQ,TRADE,,"$100,000",,26.7,27.4,26.0,YES
151,2023-04-19 09:19,SPY,TRADE,,"$100,000",,411.8,413.6,410.0,YES
152,2023-04-19 09:19,LABU,TRADE,,"$100,000",,5.4,5.8,5.2,YES
153,2023-04-19 09:19,SOXL,TRADE,,"$100,000",,15.0,15.6,14.7,YES
154,2023-04-20 09:20,QQQ,TRADE,,"$100,000",,315.3,317.3,314.1,YES
155,2023-04-20 09:20,SPY,TRADE,,"$100,000",,411.1,413.1,410.3,YES
156,2023-04-20 09:20,TQQQ,TRADE,,"$100,000",,26.6,27.0,26.3,YES
157,2023-04-20 09:20,LABU,TRADE,,"$100,000",,5.7,6.0,5.6,YES
158,2023-04-20 09:20,SOXL,TRADE,,"$100,000",,14.6,15.2,14.4,YES
159,2023-04-21 09:18,QQQ,TRADE,,"$100,000",,314.9,315.8,314.4,YES
160,2023-04-21 09:18,SPY,TRADE,,"$100,000",,411.0,412.5,410.0,YES
161,2023-04-21 09:18,SOXL,TRADE,,"$100,000",,15.0,15.5,14.7,YES
162,2023-04-21 09:18,LABU,TRADE,,"$100,000",,5.6,5.8,5.4,YES
163,2023-04-24 09:19,QQQ,TRADE,,"$100,000",,315.5,317.6,314.0,YES
164,2023-04-24 09:19,TQQQ,TRADE,,"$100,000",,26.6,27.2,26.1,YES
165,2023-04-24 09:19,SPY,TRADE,,"$100,000",,411.1,412.5,410.0,YES
166,2023-04-24 09:19,LABU,TRADE,,"$100,000",,5.8,6.04,5.6,YES
